rank,symbol,date,close,dma_200,distance_to_200dma_pct,dma_50,rsi_14,volume_ratio,break_below_date,breakdown_low,recovery_from_breakdown_low_pct,score,setup,recovery_candidate,reasons,high_52w,distance_to_52w_high_pct,high_2y,distance_to_2y_high_pct,high_level_score,high_level_setup,high_level_candidate,high_level_reasons,combined_setup,pe_ratio,pb_ratio,eps,dividend_yield,market_cap,roe,roce,operating_margin,net_profit_margin,debt_to_equity,current_ratio,quick_ratio,interest_coverage,revenue_growth,eps_growth,profit_growth,fundamental_score
417,HBLENGINE,2026-08-14,678.5,792.11,-14.34,757.33,33.37,0.8,,,,0,NOT A RECOVERY,False,,1122.0,-39.53,1122.0,-39.53,0,NORMAL,False,,NONE,24.09446,8.420099,28.16,59.0,188076769280.0,,,21.051000000000002,23.381001,3.021,,,,6.0,-23.5,-23.5,42
418,ACC,2026-08-14,1321.4,1542.25,-14.32,1353.19,40.56,0.48,,,,0,NOT A RECOVERY,False,,1987.0,-33.5,2544.9,-48.08,0,NORMAL,False,,NONE,13.037988,1.2074726,101.35,56.99999999999999,248142102528.0,,,3.375,7.563000000000001,2.085,,,,-3.8,-60.6,-60.6,28
419,VMM,2026-08-14,105.2,122.0,-13.77,114.19,34.69,0.49,,,,0,NOT A RECOVERY,False,,157.6,-33.25,157.6,-33.25,0,NORMAL,False,,NONE,56.256683,6.6192665,1.87,,492841861120.0,,,9.636,6.61,26.817,,,,18.7,25.0,25.0,42
420,DABUR,2026-08-14,405.25,469.6,-13.7,426.79,34.2,0.69,,,,0,NOT A RECOVERY,False,,577.0,-29.77,672.0,-39.69,0,NORMAL,False,,NONE,36.47615,6.294363,11.11,204.0,718896103424.0,,,16.476,14.551,10.907,,,,10.6,15.299999999999999,15.299999999999999,50
421,BLUESTARCO,2026-08-14,1508.0,1745.55,-13.61,1630.55,34.7,0.58,,,,0,NOT A RECOVERY,False,,2040.0,-26.08,2417.0,-37.61,0,NORMAL,False,,NONE,60.97857,9.035188,24.73,56.00000000000001,310033711104.0,,,3.5029999999999997,3.979,23.588,,,,13.3,-15.1,-15.1,22
422,AMBUJACEM,2026-08-14,417.5,482.25,-13.43,427.86,40.92,0.59,,,,0,NOT A RECOVERY,False,,605.45,-31.04,660.0,-36.74,0,NORMAL,False,,NONE,23.415592,1.738895,17.83,48.0,1037411155968.0,,,7.947,11.128,1.205,,,,-7.7,-27.500000000000004,-27.500000000000004,36
423,WHIRLPOOL,2026-08-14,778.9,897.98,-13.26,792.96,42.92,0.2,,,,0,NOT A RECOVERY,False,,1437.0,-45.8,2449.7,-68.2,0,NORMAL,False,,NONE,39.37816,2.3756294,19.78,64.0,98858262528.0,,,3.1040002,3.013,8.621,,,,12.1,-29.4,-29.4,30
424,JKTYRE,2026-08-14,384.1,441.73,-13.05,396.49,41.45,0.96,,,,0,NOT A RECOVERY,False,,611.9,-37.23,611.9,-37.23,0,NORMAL,False,,NONE,16.663774,1.827012,23.05,104.0,110732001280.0,,,3.359,4.003,80.551,,,,2.0,-74.3,-74.3,36
425,TTML,2026-08-14,38.59,44.27,-12.83,41.45,36.54,0.36,,,,0,NOT A RECOVERY,False,,60.89,-36.62,104.0,-62.89,0,NORMAL,False,,NONE,203.10527,-0.37772232,0.19,,75440660480.0,,,43.647999999999996,3.1870000000000003,,,,,6.1,,,27
426,TECHNOE,2026-08-14,968.4,1110.54,-12.8,1037.7,39.13,0.73,,,,0,NOT A RECOVERY,False,,1575.0,-38.51,1822.0,-46.85,0,NORMAL,False,,NONE,26.116505,2.708349,37.08,92.0,112624508928.0,,,18.546000000000003,12.919,1.744,,,,25.4,-31.5,-31.5,56
