rank,symbol,date,close,dma_200,distance_to_200dma_pct,dma_50,rsi_14,volume_ratio,break_below_date,breakdown_low,recovery_from_breakdown_low_pct,score,setup,recovery_candidate,reasons,high_52w,distance_to_52w_high_pct,high_2y,distance_to_2y_high_pct,high_level_score,high_level_setup,high_level_candidate,high_level_reasons,combined_setup,pe_ratio,pb_ratio,eps,dividend_yield,market_cap,roe,roce,operating_margin,net_profit_margin,debt_to_equity,current_ratio,quick_ratio,interest_coverage,revenue_growth,eps_growth,profit_growth,fundamental_score
457,TORNTPOWER,2026-08-14,1309.1,1415.82,-7.54,1404.1,31.8,0.35,,,,0,NOT A RECOVERY,False,,1824.1,-28.23,2037.0,-35.73,0,NORMAL,False,,NONE,28.409286,3.4581866,46.08,153.0,659660144640.0,,,14.002,7.9629995,70.885,,,,2.8000000000000003,-12.7,-12.7,30
458,GODFRYPHLP,2026-08-14,2149.0,2321.51,-7.43,2184.97,45.87,0.19,,,,0,NOT A RECOVERY,False,,3947.0,-45.55,3947.0,-45.55,0,NORMAL,False,,NONE,24.630373,5.3955255,87.25,231.0,335204810752.0,,,12.206,22.389999,3.757,,,,-18.9,-44.3,-44.3,34
459,INDIACEM,2026-08-14,375.3,404.99,-7.33,387.47,38.42,0.51,,,,0,NOT A RECOVERY,False,,485.8,-22.75,485.8,-22.75,0,NORMAL,False,,NONE,125.1,1.1487674,3.0,,174456406016.0,,,8.218,2.0650001000000002,12.888,,,,-0.5,,,10
460,GALLANTT,2026-08-14,582.05,626.75,-7.13,645.55,41.48,0.37,,,,0,NOT A RECOVERY,False,,948.0,-38.6,948.0,-38.6,0,NORMAL,False,,NONE,28.986553,4.2354937,20.08,14.000000000000002,140437569536.0,,,13.780999999999999,11.146,,,,,,,,70
461,SOBHA,2026-08-14,1328.2,1427.74,-6.97,1395.9,36.93,0.14,,,,0,NOT A RECOVERY,False,,1732.0,-23.31,2070.0,-35.84,0,NORMAL,False,,NONE,61.719326,3.009703,21.52,45.0,142056079360.0,,,3.862,4.106,24.62,,,,50.0,274.0,274.0,48
462,LICHSGFIN,2026-08-14,500.0,536.95,-6.88,539.25,32.95,0.65,,,,0,NOT A RECOVERY,False,,598.2,-16.42,735.55,-32.02,0,NORMAL,False,,NONE,4.8123193,0.6639577,103.9,199.0,275031490560.0,,,82.443,65.17699999999999,642.522,,,,14.499999999999998,9.9,9.9,62
463,POWERGRID,2026-08-14,266.05,285.54,-6.82,283.62,30.08,0.74,,,,0,NOT A RECOVERY,False,,324.95,-18.13,366.25,-27.36,0,NORMAL,False,,NONE,13.0288925,2.462263,20.42,459.99999999999994,2474425450496.0,,,55.737996,33.797002,150.813,,,,2.7,-0.8,-0.8,48
464,SBILIFE,2026-08-14,1795.0,1923.78,-6.69,1812.42,39.41,0.61,,,,0,NOT A RECOVERY,False,,2132.0,-15.81,2132.0,-15.81,0,NORMAL,False,,NONE,69.92599,8.944856,25.67,15.0,1800853651456.0,13.703000000000001,,1.711,2.1389998,,1.063,0.193,,18.8,21.8,21.8,52
465,BAJAJHFL,2026-08-14,84.33,90.33,-6.64,86.36,40.04,0.45,,,,0,NOT A RECOVERY,False,,117.98,-28.52,188.5,-55.26,0,NORMAL,False,,NONE,26.10836,3.1183672,3.23,,702356062208.0,12.679000000000002,,80.913,63.176995999999995,460.74,,,,19.6,22.900000000000002,22.900000000000002,65
466,ITCHOTELS,2026-08-14,164.93,176.11,-6.35,169.07,45.11,0.57,,,,0,NOT A RECOVERY,False,,253.67,-34.98,261.62,-36.96,0,NORMAL,False,,NONE,40.128952,2.9469151,4.11,60.0,343545249792.0,,,20.086999,20.283002,0.634,,,,14.799999999999999,35.9,35.9,76
467,DOMS,2026-08-14,2215.9,2365.02,-6.31,2266.91,41.38,0.36,,,,0,NOT A RECOVERY,False,,2770.0,-20.0,3115.0,-28.86,0,NORMAL,False,,NONE,62.104816,11.023774,35.68,16.0,134479273984.0,,,8.826,8.929,10.849,,,,19.2,-22.5,-22.5,22
468,PFC,2026-08-13,378.95,404.32,-6.28,418.03,27.7,1.12,,,,0,NOT A RECOVERY,False,,486.5,-22.11,566.4,-33.09,0,NORMAL,False,,NONE,4.763111,0.86813575,78.94,415.00000000000006,1240838176768.0,,,85.533994,54.484004,536.837,36.784,36.625,,0.8,2.1,2.1,63
469,CANFINHOME,2026-08-13,821.85,874.03,-5.97,857.27,42.02,0.41,,,,0,NOT A RECOVERY,False,,971.5,-15.4,971.5,-15.4,0,NORMAL,False,,NONE,9.671262,1.8275169,84.87,195.0,109293289472.0,,,79.907995,66.733,636.585,,,,22.5,19.6,19.6,74
470,TRIDENT,2026-08-14,24.34,25.88,-5.95,25.26,35.99,0.57,,,,0,NOT A RECOVERY,False,,30.94,-21.33,40.2,-39.45,0,NORMAL,False,,NONE,31.20513,2.6009831,0.78,405.99999999999994,124026519552.0,,,13.338,5.829,38.323,,,,4.7,14.799999999999999,14.799999999999999,38
471,UCOBANK,2026-08-14,26.0,27.62,-5.85,26.48,44.56,0.42,,,,0,NOT A RECOVERY,False,,34.2,-23.98,53.05,-50.99,0,NORMAL,False,,NONE,11.555555,0.9643559,2.25,169.0,326028525568.0,8.541001,,60.443999999999996,21.541001,,,,,53.0,8.3,8.3,68
472,GILLETTE,2026-08-14,7600.0,8059.54,-5.7,7743.32,41.53,0.53,,,,0,NOT A RECOVERY,False,,10740.0,-29.24,11500.0,-33.91,0,NORMAL,False,,NONE,46.51163,26.166023,163.4,237.0,247647633408.0,,,26.795997999999997,21.035999,0.002,,,,10.8,9.4,9.4,70
473,ERIS,2026-08-14,1358.5,1437.21,-5.48,1414.68,41.98,0.37,,,,0,NOT A RECOVERY,False,,1820.0,-25.36,1910.0,-28.87,0,NORMAL,False,,NONE,28.984426,4.758602,46.87,106.0,188265431040.0,,,25.792998,20.044999999999998,60.545,,,,12.6,18.8,18.8,62
474,ITI,2026-08-14,276.75,292.63,-5.43,290.55,40.9,0.98,,,,0,NOT A RECOVERY,False,,372.85,-25.77,592.7,-53.31,0,NORMAL,False,,NONE,83.35844,13.973743,3.32,,266469277696.0,,,-0.542,15.393,40.144,,,,-13.0,,,18
475,APTUS,2026-08-14,250.5,264.68,-5.36,274.02,32.0,0.75,,,,0,NOT A RECOVERY,False,,364.0,-31.18,401.65,-37.63,0,NORMAL,False,,NONE,12.905719,2.4789462,19.41,197.0,125454843904.0,,,78.45099599999999,61.761004,156.2,,,,16.8,19.0,19.0,68
476,COLPAL,2026-08-14,1981.0,2091.35,-5.28,2039.51,38.85,0.4,,,,0,NOT A RECOVERY,False,,2504.0,-20.89,3890.0,-49.07,0,NORMAL,False,,NONE,39.995964,34.013256,49.53,242.0,538803535872.0,,,27.678000000000004,21.722999,2.993,,,,11.799999999999999,7.000000000000001,7.000000000000001,50
477,TATACONSUM,2026-08-14,1079.5,1138.75,-5.2,1100.33,46.37,0.68,,,,0,NOT A RECOVERY,False,,1282.7,-15.84,1282.7,-15.84,0,NORMAL,False,,NONE,66.227,4.9029403,16.3,93.0,1068370362368.0,,,10.458,7.837999599999999,12.159,,,,11.899999999999999,27.900000000000002,27.900000000000002,42
478,SRF,2026-08-14,2606.0,2748.36,-5.18,2713.4,41.87,0.29,,,,0,NOT A RECOVERY,False,,3210.0,-18.82,3325.0,-21.62,0,NORMAL,False,,NONE,35.713306,5.500931,72.97,38.0,772434100224.0,,,22.17,12.715000000000002,36.195,,,,31.8,75.6,75.6,62
479,NTPC,2026-08-14,340.0,357.93,-5.01,350.47,42.27,0.79,,,,0,NOT A RECOVERY,False,,414.4,-17.95,448.45,-24.18,0,NORMAL,False,,NONE,10.394375,1.6233456,32.71,363.0,3296866598912.0,,,18.428,14.530999999999999,118.127,,,,8.0,-1.6,-1.6,42
480,COALINDIA,2026-08-14,407.1,428.19,-4.93,431.49,30.98,0.72,,,,0,NOT A RECOVERY,False,,491.25,-17.13,543.55,-25.1,0,NORMAL,False,,NONE,8.05182,2.1062708,50.56,516.0,2508846792704.0,,,21.113001,18.138,11.629,,,,45.1,1.2,1.2,62
481,CROMPTON,2026-08-14,248.3,260.71,-4.76,262.19,40.83,0.48,,,,0,NOT A RECOVERY,False,,337.5,-26.43,484.0,-48.7,0,NORMAL,False,,NONE,,5.3899755,-3.48,121.0,159884066816.0,,,8.019,-2.688,5.797,,,,11.799999999999999,14.7,14.7,35
482,DRREDDY,2026-08-14,1200.0,1258.27,-4.63,1247.4,49.07,0.93,,,,0,NOT A RECOVERY,False,,1414.9,-15.19,1421.49,-15.58,0,NORMAL,False,,NONE,30.21148,2.6069615,39.72,66.0,999600095232.0,8.836999500000001,,4.251,9.995999999999999,18.605,1.902,1.161,,-5.6000000000000005,-68.7,-68.7,23
483,TATASTEEL,2026-08-14,183.5,192.35,-4.6,190.32,39.74,0.77,,,,0,NOT A RECOVERY,False,,224.4,-18.23,224.4,-18.23,0,NORMAL,False,,NONE,20.923601,2.242125,8.77,218.00000000000003,2289036951552.0,,,9.252,4.601999999999999,89.017,,,,14.299999999999999,11.4,11.4,50
484,NTPCGREEN,2026-08-14,91.93,96.35,-4.59,94.28,45.53,0.15,,,,0,NOT A RECOVERY,False,,119.95,-23.36,155.35,-40.82,0,NORMAL,False,,NONE,148.2742,4.1529636,0.62,,774632505344.0,,,58.36299700000001,18.476,165.281,,,,62.7,38.5,38.5,54
485,IOB,2026-08-14,33.59,35.16,-4.46,34.11,44.1,0.42,,,,0,NOT A RECOVERY,False,,41.8,-19.64,63.64,-47.22,0,NORMAL,False,,NONE,11.271812,1.6632007,2.98,,646828851200.0,16.525999,,37.078997,36.560002000000004,,,,,48.1,45.9,45.9,96
486,JKCEMENT,2026-08-14,5306.5,5507.86,-3.66,5402.05,40.44,0.22,,,,0,NOT A RECOVERY,False,,7565.5,-29.86,7565.5,-29.86,0,NORMAL,False,,NONE,43.66771,5.8264785,121.52,38.0,410023952384.0,,,11.93,6.558999999999999,87.522,,,,28.000000000000004,-14.499999999999998,-14.499999999999998,36
